cell_id,family,task,model,seed,method,n_calibration,n_test,risk,atom_fraction,precision,iou,selected_grid_fraction,risk_pass,efficiency_pass
bxaic__B__gcn__seed123,bxaic,B,gcn,123,gradinput,100,100,0.02666666666666667,0.03878533891559978,0.99,0.9633333333333334,0.01,True,True
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,100,100,0.02666666666666667,0.03878533891559978,0.99,0.9633333333333334,0.01,True,True
bxaic__B__gcn__seed123,bxaic,B,gcn,123,saliency,100,100,0.065,0.088227123717233,0.4110119047619049,0.40934523809523815,0.07,True,True
bxaic__B__gcn__seed123,bxaic,B,gcn,123,atom_occlusion,100,100,0.02666666666666667,0.03878533891559978,0.99,0.9633333333333334,0.01,True,True
bxaic__B__gcn__seed123,bxaic,B,gcn,123,gnnexplainer,100,100,0.01,0.9583448063657911,0.04181275611204922,0.04181275611204922,0.9400000000000001,True,False
bxaic__B__gcn__seed2026,bxaic,B,gcn,2026,gradinput,100,100,0.02666666666666667,0.03878533891559978,0.99,0.9633333333333334,0.01,True,True
bxaic__B__gcn__seed2026,bxaic,B,gcn,2026,ig,100,100,0.02666666666666667,0.03878533891559978,0.99,0.9633333333333334,0.01,True,True
bxaic__B__gcn__seed2026,bxaic,B,gcn,2026,saliency,100,100,0.08,0.2157163740311308,0.16828224764366065,0.16828224764366065,0.2,True,True
bxaic__B__gcn__seed2026,bxaic,B,gcn,2026,atom_occlusion,100,100,0.02666666666666667,0.03878533891559978,0.99,0.9633333333333334,0.01,True,True
bxaic__B__gcn__seed2026,bxaic,B,gcn,2026,gnnexplainer,100,100,0.055,0.915391563318234,0.04228758523428684,0.04228510507555669,0.9,True,False
bxaic__B__gcn__seed42,bxaic,B,gcn,42,gradinput,100,100,0.02666666666666667,0.03878533891559978,0.99,0.9633333333333334,0.01,True,True
bxaic__B__gcn__seed42,bxaic,B,gcn,42,ig,100,100,0.02666666666666667,0.03878533891559978,0.99,0.9633333333333334,0.01,True,True
