cell_id,family,task,model,seed,explainer,predictor_competence_pass,test_auroc,n_calibration_rationale,n_test_rationale,fraction_grid,test_risk,mean_atom_fraction,precision,iou,random_test_risk,random_mean_atom_fraction,atom_fraction_saving_vs_random,fixed20_risk,fixed50_risk,risk_pass,efficiency_pass
bxaic__B__gcn__seed123,bxaic,B,gcn,123,gradinput,True,1.0,119,109,0.01,0.029051987767584102,0.03860035714971998,0.9908256880733946,0.9617737003058103,0.13302752293577982,0.9109252060222288,0.8723248488725088,0.0,0.0,True,True
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,True,1.0,119,109,0.01,0.029051987767584102,0.03860035714971998,0.9908256880733946,0.9617737003058103,0.13302752293577982,0.9109252060222288,0.8723248488725088,0.0,0.0,True,True
bxaic__B__gcn__seed2026,bxaic,B,gcn,2026,gradinput,True,1.0,119,109,0.01,0.029051987767584102,0.03860035714971998,0.9908256880733946,0.9617737003058103,0.11314984709480123,0.8893335038811342,0.8507331467314142,0.0,0.0,True,True
bxaic__B__gcn__seed2026,bxaic,B,gcn,2026,ig,True,1.0,119,109,0.01,0.029051987767584102,0.03860035714971998,0.9908256880733946,0.9617737003058103,0.11314984709480123,0.8893335038811342,0.8507331467314142,0.0,0.0,True,True
bxaic__B__gcn__seed42,bxaic,B,gcn,42,gradinput,True,0.9999999999999999,119,109,0.01,0.029051987767584102,0.03860035714971998,0.9908256880733946,0.9617737003058103,0.09174311926605505,0.9109252060222288,0.8723248488725088,0.0,0.0,True,True
bxaic__B__gcn__seed42,bxaic,B,gcn,42,ig,True,0.9999999999999999,119,109,0.01,0.029051987767584102,0.03860035714971998,0.9908256880733946,0.9617737003058103,0.09174311926605505,0.9109252060222288,0.8723248488725088,0.0,0.0,True,True
bxaic__B__gin__seed123,bxaic,B,gin,123,gradinput,True,1.0,119,109,0.01,0.029051987767584102,0.03860035714971998,0.9908256880733946,0.9617737003058103,0.13302752293577982,0.9109252060222288,0.8723248488725088,0.0,0.0,True,True
bxaic__B__gin__seed123,bxaic,B,gin,123,ig,True,1.0,119,109,0.01,0.029051987767584102,0.03860035714971998,0.9908256880733946,0.9617737003058103,0.13302752293577982,0.9109252060222288,0.8723248488725088,0.0,0.0,True,True
bxaic__B__gin__seed2026,bxaic,B,gin,2026,gradinput,True,1.0,119,109,0.01,0.029051987767584102,0.03860035714971998,0.9908256880733946,0.9617737003058103,0.11314984709480123,0.8893335038811342,0.8507331467314142,0.0,0.0,True,True
bxaic__B__gin__seed2026,bxaic,B,gin,2026,ig,True,1.0,119,109,0.01,0.029051987767584102,0.03860035714971998,0.9908256880733946,0.9617737003058103,0.11314984709480123,0.8893335038811342,0.8507331467314142,0.0,0.0,True,True
bxaic__B__gin__seed42,bxaic,B,gin,42,gradinput,True,1.0,119,109,0.01,0.029051987767584102,0.03860035714971998,0.9908256880733946,0.9617737003058103,0.09174311926605505,0.9109252060222288,0.8723248488725088,0.0,0.0,True,True
bxaic__B__gin__seed42,bxaic,B,gin,42,ig,True,1.0,119,109,0.01,0.029051987767584102,0.03860035714971998,0.9908256880733946,0.9617737003058103,0.09174311926605505,0.9109252060222288,0.8723248488725088,0.0,0.0,True,True
bxaic__indole__gcn__seed123,bxaic,indole,gcn,123,gradinput,True,0.9306767868872283,1887,1847,0.8300000000000001,0.09772876089199861,0.8468982391419475,0.33408729227598327,0.3214103922293006,0.09448458808231415,0.90726752777742,0.06036928863547253,0.543909735815529,0.20396658475976293,True,False
bxaic__indole__gcn__seed123,bxaic,indole,gcn,123,ig,True,0.9306767868872283,1887,1847,0.76,0.09413712002369287,0.7755804835294008,0.3656777795867114,0.3508058121191153,0.09448458808231415,0.90726752777742,0.13168704424801925,0.596825548321217,0.20115890170708797,True,True
bxaic__indole__gcn__seed2026,bxaic,indole,gcn,2026,gradinput,True,0.9362490002995667,1887,1847,0.87,0.0977877037839139,0.886845717303693,0.31902961157020593,0.30732862631320657,0.09570896903733939,0.90726752777742,0.020421810473727042,0.49209833610212605,0.19913714316123635,True,False
bxaic__indole__gcn__seed2026,bxaic,indole,gcn,2026,ig,True,0.9362490002995667,1887,1847,0.71,0.09280763677758809,0.727164883610353,0.3862174933141384,0.36898846172321054,0.09570896903733939,0.90726752777742,0.180102644167067,0.7660225174572767,0.28615838882487504,True,True
bxaic__indole__gcn__seed42,bxaic,indole,gcn,42,gradinput,True,0.93217358922,1887,1847,0.6900000000000001,0.09216024831211624,0.7066609235190675,0.3997637105943275,0.381720920487301,0.09348660798985653,0.90726752777742,0.20060660425835253,0.5872678340328584,0.19969793937038122,True,True
bxaic__indole__gcn__seed42,bxaic,indole,gcn,42,ig,True,0.93217358922,1887,1847,0.68,0.09511959796204518,0.6955214960377726,0.4027538760795683,0.383703439869766,0.09348660798985653,0.90726752777742,0.21174603173964746,0.6860680945615976,0.2462201930596625,True,True
bxaic__indole__gin__seed123,bxaic,indole,gin,123,gradinput,True,0.9953412585644438,1887,1847,0.93,0.09009857750382928,0.9462280636892683,0.3023874583842541,0.29378866586940994,0.09448458808231415,0.90726752777742,-0.038960535911848226,0.7364121498325613,0.49093893308159686,True,False
bxaic__indole__gin__seed123,bxaic,indole,gin,123,ig,True,0.9953412585644438,1887,1847,0.55,0.0965217330945539,0.5656559959354353,0.49334135497789355,0.46567065076521585,0.09448458808231415,0.90726752777742,0.3416115318419848,0.4636693714454949,0.12440438178797683,True,True
bxaic__indole__gin__seed2026,bxaic,indole,gin,2026,gradinput,True,0.9934158904960437,1887,1847,0.96,0.0988452823320176,0.9747994993281845,0.29768996914487983,0.29166631002851645,0.09570896903733939,0.90726752777742,-0.06753197155076451,0.8025839622888892,0.6604160207435789,True,False
bxaic__indole__gin__seed2026,bxaic,indole,gin,2026,ig,True,0.9934158904960437,1887,1847,0.66,0.09508876718541043,0.6771674344541085,0.4150012599111202,0.39468202735221625,0.09570896903733939,0.90726752777742,0.2301000933233115,0.46358453378621217,0.15764902120478733,True,True
bxaic__indole__gin__seed42,bxaic,indole,gin,42,gradinput,True,0.9920397564716004,1887,1847,0.93,0.0921752491527803,0.9462280636892683,0.3024850796968595,0.2939082949413037,0.09348660798985653,0.90726752777742,-0.038960535911848226,0.6863252105130828,0.5270900914241466,True,False
bxaic__indole__gin__seed42,bxaic,indole,gin,42,ig,True,0.9920397564716004,1887,1847,0.67,0.09801464452249513,0.6886269315023926,0.40922584978992593,0.39055677558899315,0.09348660798985653,0.90726752777742,0.2186405962750274,0.5002795979311951,0.18320806281688798,True,True
bxaic__P__gcn__seed123,bxaic,P,gcn,123,gradinput,True,0.9999956870494315,657,638,0.02,0.10976490624748046,0.03654573825758572,0.9612068965517241,0.8514419903042437,0.10577829878032718,0.9155993798160156,0.8790536415584299,0.0,0.0,False,True
bxaic__P__gcn__seed123,bxaic,P,gcn,123,ig,True,0.9999956870494315,657,638,0.02,0.10976490624748046,0.03654573825758572,0.9612068965517241,0.8514419903042437,0.10577829878032718,0.9155993798160156,0.8790536415584299,0.0,0.0,False,True
bxaic__P__gcn__seed2026,bxaic,P,gcn,2026,gradinput,True,1.0,657,638,0.02,0.10976490624748046,0.03654573825758572,0.9612068965517241,0.8514419903042437,0.09115837985236841,0.9084086740208712,0.8718629357632856,0.0,0.0,False,True
bxaic__P__gcn__seed2026,bxaic,P,gcn,2026,ig,True,1.0,657,638,0.02,0.10976490624748046,0.03654573825758572,0.9612068965517241,0.8514419903042437,0.09115837985236841,0.9084086740208712,0.8718629357632856,0.0,0.0,False,True
bxaic__P__gcn__seed42,bxaic,P,gcn,42,gradinput,True,1.0,657,638,0.02,0.10976490624748046,0.03654573825758572,0.9612068965517241,0.8514419903042437,0.07424507848166341,0.9274815943093282,0.8909358560517425,0.0,0.0,False,True
bxaic__P__gcn__seed42,bxaic,P,gcn,42,ig,True,1.0,657,638,0.02,0.10976490624748046,0.03654573825758572,0.9612068965517241,0.8514419903042437,0.07424507848166341,0.9274815943093282,0.8909358560517425,0.0,0.0,False,True
