family,task,explainer,cells,mean_test_auroc,mean_test_risk,mean_atom_fraction,mean_random_test_risk,mean_random_atom_fraction,mean_atom_fraction_saving_vs_random,mean_fixed20_risk,mean_fixed50_risk,risk_pass_rate,efficiency_pass_rate
bxaic,B,gradinput,6,1.0,0.0290519877675841,0.03860035714971998,0.1126401630988787,0.9037279719751973,0.8651276148254773,0.0,0.0,1.0,1.0
bxaic,B,ig,6,1.0,0.0290519877675841,0.03860035714971998,0.1126401630988787,0.9037279719751973,0.8651276148254773,0.0,0.0,1.0,1.0
bxaic,P,gradinput,6,0.9999992811749053,0.1108098383268953,0.03654573825758572,0.09039391903811966,0.9171632160487384,0.8806174777911527,0.0,0.0,0.0,1.0
bxaic,P,ig,6,0.9999992811749053,0.11028737228718788,0.03654573825758572,0.09039391903811966,0.9171632160487384,0.8806174777911527,0.0,0.0,0.0,1.0
bxaic,PAINS,gradinput,6,0.9159453968910113,0.09332514839659688,0.9299237908557667,0.09554639243711711,0.9052511321724807,-0.02467265868328609,0.7257219683272084,0.4840407781912517,1.0,0.0
bxaic,PAINS,ig,6,0.9159453968910113,0.09601223068850095,0.8444382194936964,0.09554639243711711,0.9052511321724807,0.0608129126787843,0.629148501370957,0.33473308871484314,0.8333333333333334,0.16666666666666666
bxaic,X,gradinput,6,0.9999235776904803,0.09119950858522795,0.06974262754188722,0.09025415387038349,0.9087783882831856,0.8390357607412984,0.0020042354291114036,0.00015749271596188677,1.0,1.0
bxaic,X,ig,6,0.9999235776904803,0.09219764210905247,0.06814793693938972,0.09025415387038349,0.9087783882831856,0.8406304513437958,0.0013928262067879362,8.85896527285613e-05,1.0,1.0
bxaic,indole,gradinput,6,0.9633160469898138,0.09479930366277599,0.8846100844452381,0.09456005503650335,0.90726752777742,0.022657443332181854,0.6414328714308412,0.38020778542345046,1.0,0.16666666666666666
bxaic,indole,ig,6,0.9633160469898138,0.09528158326096427,0.6882862041782438,0.09456005503650335,0.90726752777742,0.21898132359917621,0.5794082772504989,0.19979982490021295,1.0,1.0
bxaic,rings-count,gradinput,6,0.9638192785545106,0.0921887541238262,0.9109092918436019,0.09122721417129727,0.9084471118578897,-0.0024621799857121873,0.8487568665914159,0.5571853596256336,1.0,0.0
bxaic,rings-count,ig,6,0.9638192785545106,0.09476827571894313,0.9055041791155914,0.09122721417129727,0.9084471118578897,0.0029429327422982134,0.8739779848864516,0.5658423099926578,1.0,0.0
bxaic,rings-max,gradinput,6,0.8244727549718628,0.09004716463449076,0.9232150528833377,0.08986758607583595,0.907650027704569,-0.015565025178768751,0.7170794805339725,0.4271343781008603,1.0,0.0
bxaic,rings-max,ig,6,0.8244727549718628,0.09141692457406005,0.9244126466079478,0.08986758607583595,0.907650027704569,-0.01676261890337864,0.7197164125099339,0.4338677303599452,1.0,0.0
google,benzene,gradinput,6,0.9439091939091938,0.10055223874668318,0.6883534131066574,0.09663717950754987,0.9031661198214196,0.21481270671476219,0.5957950013505569,0.2641666468055357,0.3333333333333333,0.5
google,benzene,ig,6,0.9439091939091938,0.09982601649268315,0.6160903116491825,0.09663717950754987,0.9031661198214196,0.2870758081722371,0.6187057758817017,0.20779877099321545,0.3333333333333333,0.8333333333333334
google,logic10,gradinput,6,0.9165989470467301,0.08625320611927752,0.8747707360027578,0.09456625963322389,0.9075577596515902,0.03278702364883244,0.8116311949459272,0.492263509060384,1.0,0.16666666666666666
google,logic10,ig,6,0.9165989470467301,0.09853045020455735,0.8018045505480561,0.09456625963322389,0.9075577596515902,0.10575320910353418,0.7745346729163693,0.35835874814669455,0.5,0.5
google,logic7,gradinput,6,0.9689776894618652,0.06153326578858493,0.8969627883434902,0.07470449172576832,0.9118845308602955,0.014921742516805447,0.5928951367781155,0.3777271192164809,0.8333333333333334,0.16666666666666666
google,logic7,ig,6,0.9689776894618652,0.07259371833839919,0.7256785571055123,0.07470449172576832,0.9118845308602955,0.1862059737547832,0.4217705167173252,0.15840509962850388,1.0,0.8333333333333334
google,logic8,gradinput,6,0.8498338960628677,0.07998165532132923,0.933763454543748,0.0959188808373591,0.9067681987951755,-0.026995255748572495,0.7055156900265596,0.44053360337327724,1.0,0.0
google,logic8,ig,6,0.8498338960628677,0.0792561353702658,0.8859081404128776,0.0959188808373591,0.9067681987951755,0.020860058382297892,0.6248353749712445,0.35316208801263144,1.0,0.16666666666666666
