cell_id,family,task,model,molecules,rationale_molecules,mean_miss_loss,risk_ci_low,risk_ci_high,risk_point_pass,risk_ci_upper_pass,mean_fidelity_advantage,fidelity_ci_low,fidelity_ci_high,fidelity_p_one_sided,fidelity_p_holm,fidelity_holm_positive
bxaic__B__gcn__seed42,bxaic,B,gcn,4999,109,0.029051987767584102,0.009174311926605505,0.051987767584097865,True,True,1.7053597453094096,1.631780195606425,1.7779595664937653,0.0004997501249375312,0.010994502748625687,True
bxaic__B__gin__seed42,bxaic,B,gin,4999,109,0.029051987767584102,0.009174311926605505,0.051987767584097865,True,True,1.3036896843604027,1.2029747167994531,1.4066013691204264,0.0004997501249375312,0.010994502748625687,True
bxaic__PAINS__gcn__seed42,bxaic,PAINS,gcn,4999,1644,0.09730453274525722,0.09232029871349283,0.10249048789165112,True,False,1.5433504517825634,1.482241715604611,1.6080989721758583,0.0004997501249375312,0.010994502748625687,True
bxaic__PAINS__gin__seed42,bxaic,PAINS,gin,4999,1644,0.10021768040983,0.09564543929620775,0.10477592541287163,False,False,1.4659064400640816,1.3525802584348243,1.575785471861882,0.0004997501249375312,0.010994502748625687,True
bxaic__P__gcn__seed42,bxaic,P,gcn,4999,638,0.10976490624748046,0.0927492610039171,0.12781162614661137,False,False,2.519122736731585,2.3375695378577905,2.7212942080143376,0.0004997501249375312,0.010994502748625687,True
bxaic__P__gin__seed42,bxaic,P,gin,4999,638,0.10976490624748046,0.0927492610039171,0.12781162614661137,False,False,3.983622873466142,3.683617775140702,4.294339710575958,0.0004997501249375312,0.010994502748625687,True
bxaic__X__gcn__seed42,bxaic,X,gcn,4999,2822,0.0921681122248096,0.08536051418559391,0.09872452695937813,True,True,9.556403956799107,9.303140035880926,9.799452251897595,0.0004997501249375312,0.010994502748625687,True
bxaic__X__gin__seed42,bxaic,X,gin,4999,2822,0.0921681122248096,0.08536051418559391,0.09872452695937813,True,True,11.221361810027373,10.880182071927072,11.53953819509881,0.0004997501249375312,0.010994502748625687,True
bxaic__indole__gcn__seed42,bxaic,indole,gcn,4999,1847,0.09511959796204518,0.09040654977579721,0.09963737685042505,True,True,1.1687319283188284,1.1287993610014044,1.2109547401938432,0.0004997501249375312,0.010994502748625687,True
bxaic__indole__gin__seed42,bxaic,indole,gin,4999,1847,0.0980146445224951,0.09476695287807904,0.10143994959100536,True,False,1.4308802814430226,1.34517481662102,1.5192406191357757,0.0004997501249375312,0.010994502748625687,True
bxaic__rings-count__gcn__seed42,bxaic,rings-count,gcn,4999,4933,0.09968211792662798,0.09795295434578102,0.10140680034234854,True,False,2.038345998944128,1.9388579294428296,2.1454880704436694,0.0004997501249375312,0.010994502748625687,True
bxaic__rings-count__gin__seed42,bxaic,rings-count,gin,4999,4933,0.09417992244073636,0.09215667311700927,0.09610217206559009,True,True,-0.1268370878841906,-0.1424009298367318,-0.11075161156308108,1.0,1.0,False
bxaic__rings-max__gcn__seed42,bxaic,rings-max,gcn,4999,277,0.08749858457981444,0.0787426655177135,0.09604530484424101,True,True,0.12751270253244795,0.11915583685681352,0.13633336779754812,0.0004997501249375312,0.010994502748625687,True
bxaic__rings-max__gin__seed42,bxaic,rings-max,gin,4999,277,0.09994925441187472,0.08917434478348685,0.11056908016296749,True,False,5.265005421128171,5.121283116357807,5.4221678633622155,0.0004997501249375312,0.010994502748625687,True
google__benzene__gcn__seed42,google,benzene,gcn,2000,999,0.10280220696887361,0.0939621714968937,0.11264544802739244,False,False,0.26585813631117344,0.23287944191433488,0.2980402877651155,0.0004997501249375312,0.010994502748625687,True
google__benzene__gin__seed42,google,benzene,gin,2000,999,0.10225344392011057,0.09367482561927004,0.11151132779605,False,False,1.3598363057374954,1.2815956208089367,1.4377713462004438,0.0004997501249375312,0.010994502748625687,True
google__logic10__gcn__seed42,google,logic10,gcn,969,112,0.1044853212263926,0.08605636736775124,0.1232714179421768,False,False,3.408223897234082,3.2889885742521012,3.5241740230797673,0.0004997501249375312,0.010994502748625687,True
google__logic10__gin__seed42,google,logic10,gin,969,112,0.09142483260786823,0.08398850591372903,0.09806402210141041,True,True,18.365630051576684,17.808284793253623,18.95446475467753,0.0004997501249375312,0.010994502748625687,True
google__logic7__gcn__seed42,google,logic7,gcn,486,47,0.06793313069908813,0.03581180344478216,0.1003634751773049,True,False,0.8936929570304023,0.8064205719089067,0.9815626918748327,0.0004997501249375312,0.010994502748625687,True
google__logic7__gin__seed42,google,logic7,gin,486,47,0.09169199594731507,0.05460612968591692,0.13106256332320157,True,False,3.347398182430876,3.1427795991792107,3.572524950754495,0.0004997501249375312,0.010994502748625687,True
google__logic8__gcn__seed42,google,logic8,gcn,918,184,0.027254101574753744,0.01851972265355417,0.03618444734613211,True,True,0.0514502376642622,0.04026863928356721,0.06383397897019624,0.0004997501249375312,0.010994502748625687,True
google__logic8__gin__seed42,google,logic8,gin,918,184,0.09056520170650605,0.07703644558943472,0.10515405412823887,True,False,1.1967315787453536,1.0577286254362992,1.3370131528000946,0.0004997501249375312,0.010994502748625687,True
