family,task,molecules,unseen_rate,unique_test_scaffolds
bxaic,B,9998,0.4754950990198039,4021
bxaic,P,9998,0.4754950990198039,4021
bxaic,PAINS,9998,0.4754950990198039,4021
bxaic,X,9998,0.4754950990198039,4021
bxaic,indole,9998,0.4754950990198039,4021
bxaic,rings-count,9998,0.4754950990198039,4021
bxaic,rings-max,9998,0.4754950990198039,4021
google,benzene,4000,0.627,1530
google,logic10,1938,0.6150670794633644,795
google,logic7,972,0.6893004115226338,421
google,logic8,1836,0.4793028322440087,689
