family,task,scaffold_novelty,molecules,mean_miss_loss,mean_iou,mean_selected_fraction,mean_fidelity_advantage
bxaic,B,seen,118,0.01694915254237288,0.9745762711864406,0.04499108676643354,19.447603710627153
bxaic,B,unseen,100,0.04333333333333334,0.9466666666666668,0.031059296201997922,21.189896367788315
bxaic,P,seen,858,0.11384726384726386,0.8694472194472195,0.03885565707991844,18.915507335485
bxaic,P,unseen,418,0.10138533012160932,0.8144838883791882,0.03180432593806056,25.57728831049358
bxaic,PAINS,seen,1884,0.09609153757779053,0.3480447385704687,0.8843708446064534,2.5956887201803505
bxaic,PAINS,unseen,1404,0.10234334873960542,0.31726436034757477,0.8817380442426783,3.1353594026398284
bxaic,X,seen,2910,0.09483554246440845,0.6497635411552938,0.06938942007775026,17.587404956276885
bxaic,X,unseen,2734,0.08932896738310052,0.6199936270345926,0.06682653389161015,18.12932482625589
bxaic,indole,seen,2150,0.09818902802623732,0.4077366616724173,0.6930334802952587,1.4729595290644224
bxaic,indole,unseen,1544,0.09430863705475104,0.35843574828797337,0.6907384475595069,1.8221431132888546
bxaic,rings-count,seen,5112,0.10693441341205386,0.5619957055858361,0.9130219194436126,0.7093696312538708
bxaic,rings-count,unseen,4754,0.08617432136512179,0.6431397281575381,0.910541171835063,1.240606839836371
bxaic,rings-max,seen,190,0.09357077357536936,0.26155830285003046,0.936765130948596,4.00130438428176
bxaic,rings-max,unseen,364,0.09380385830048822,0.24957707923523836,0.9376809177213566,3.9149924280879262
google,benzene,seen,738,0.12210123886953153,0.5135376673573432,0.6236387275967223,0.6152066669166896
google,benzene,unseen,1260,0.0910633975812547,0.5078165101876073,0.6217383515602753,0.7322609426483275
google,logic10,seen,126,0.10330393812536662,0.5670190940557555,0.7760590686181037,5.71289459438551
google,logic10,unseen,98,0.09107796964939815,0.5333925371444155,0.7721428482385851,6.44593505804636
google,logic7,seen,42,0.08021541950113378,0.2913809855926176,0.6745539851749589,2.1041847737062547
google,logic7,unseen,52,0.07948717948717948,0.24579731430618543,0.6762651155099668,2.250354298032247
google,logic8,seen,216,0.05218287371065147,0.3126376960126502,0.9377282170929533,0.6323123436283182
google,logic8,unseen,152,0.06846875712007289,0.2880545264413205,0.9347208661706434,0.34787982074837936
