cell_id,family,task,model,seed,explainer,trained_test_auroc,random_test_auroc,trained_fixed20_iou,random_fixed20_iou,iou_difference,trained_wins,tie
bxaic__B__gcn__seed123,bxaic,B,gcn,123,gradinput,1.0,0.3966360856269113,0.18645378770279053,0.0,0.18645378770279053,True,False
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,1.0,0.3966360856269113,0.18645378770279053,0.0,0.18645378770279053,True,False
bxaic__B__gcn__seed2026,bxaic,B,gcn,2026,gradinput,1.0,0.4857169659105834,0.18645378770279053,0.0,0.18645378770279053,True,False
bxaic__B__gcn__seed2026,bxaic,B,gcn,2026,ig,1.0,0.4857169659105834,0.18645378770279053,0.0,0.18645378770279053,True,False
bxaic__B__gcn__seed42,bxaic,B,gcn,42,gradinput,0.9999999999999999,0.6291120241646498,0.18645378770279053,0.10335709336756405,0.08309669433522648,True,False
bxaic__B__gcn__seed42,bxaic,B,gcn,42,ig,0.9999999999999999,0.6291120241646498,0.18645378770279053,0.10335709336756405,0.08309669433522648,True,False
bxaic__B__gin__seed123,bxaic,B,gin,123,gradinput,1.0,0.556595561058892,0.18645378770279053,0.06897103915452539,0.11748274854826514,True,False
bxaic__B__gin__seed123,bxaic,B,gin,123,ig,1.0,0.556595561058892,0.18645378770279053,0.014656495390440345,0.1717972923123502,True,False
bxaic__B__gin__seed2026,bxaic,B,gin,2026,gradinput,1.0,0.47286730080111067,0.18645378770279053,0.0,0.18645378770279053,True,False
bxaic__B__gin__seed2026,bxaic,B,gin,2026,ig,1.0,0.47286730080111067,0.18645378770279053,0.0,0.18645378770279053,True,False
bxaic__B__gin__seed42,bxaic,B,gin,42,gradinput,1.0,0.42581002232603515,0.18645378770279053,0.0033639143730886853,0.18308987332970184,True,False
bxaic__B__gin__seed42,bxaic,B,gin,42,ig,1.0,0.42581002232603515,0.18645378770279053,0.001834862385321101,0.18461892531746943,True,False
bxaic__indole__gcn__seed123,bxaic,indole,gcn,123,gradinput,0.9306767868872283,0.648536589722942,0.34760155276247934,0.2153836041460851,0.13221794861639424,True,False
bxaic__indole__gcn__seed123,bxaic,indole,gcn,123,ig,0.9306767868872283,0.648536589722942,0.3026870361013552,0.2153643566733716,0.08732267942798363,True,False
bxaic__indole__gcn__seed2026,bxaic,indole,gcn,2026,gradinput,0.9362490002995667,0.4834868211312624,0.40852585693816323,0.08448905754421834,0.3240367993939449,True,False
bxaic__indole__gcn__seed2026,bxaic,indole,gcn,2026,ig,0.9362490002995667,0.4834868211312624,0.16503141733424107,0.08448905754421834,0.08054235979002272,True,False
bxaic__indole__gcn__seed42,bxaic,indole,gcn,42,gradinput,0.93217358922,0.4624001845495096,0.32060379115039334,0.1391949142505721,0.18140887689982124,True,False
bxaic__indole__gcn__seed42,bxaic,indole,gcn,42,ig,0.93217358922,0.4624001845495096,0.22181680361674883,0.13918281195432064,0.08263399166242819,True,False
bxaic__indole__gin__seed123,bxaic,indole,gin,123,gradinput,0.9953412585644438,0.4314834180273127,0.1880564179399463,0.057587245450996305,0.13046917248894999,True,False
bxaic__indole__gin__seed123,bxaic,indole,gin,123,ig,0.9953412585644438,0.4314834180273127,0.43052844034535404,0.2849680549190782,0.14556038542627586,True,False
bxaic__indole__gin__seed2026,bxaic,indole,gin,2026,gradinput,0.9934158904960437,0.48854458389101274,0.1376187711147966,0.07002751175267295,0.06759125936212364,True,False
bxaic__indole__gin__seed2026,bxaic,indole,gin,2026,ig,0.9934158904960437,0.48854458389101274,0.4367816647700675,0.07074268555548974,0.3660389792145778,True,False
bxaic__indole__gin__seed42,bxaic,indole,gin,42,gradinput,0.9920397564716004,0.6039952117441096,0.22976844376848893,0.12800236174336949,0.10176608202511944,True,False
bxaic__indole__gin__seed42,bxaic,indole,gin,42,ig,0.9920397564716004,0.6039952117441096,0.4019287912623642,0.2723891050554564,0.1295396862069078,True,False
bxaic__P__gcn__seed123,bxaic,P,gcn,123,gradinput,0.9999956870494315,0.42670068626231794,0.20367438499800047,0.0,0.20367438499800047,True,False
bxaic__P__gcn__seed123,bxaic,P,gcn,123,ig,0.9999956870494315,0.42670068626231794,0.20367438499800047,0.0,0.20367438499800047,True,False
bxaic__P__gcn__seed2026,bxaic,P,gcn,2026,gradinput,1.0,0.28762276634087114,0.20367438499800047,0.0,0.20367438499800047,True,False
bxaic__P__gcn__seed2026,bxaic,P,gcn,2026,ig,1.0,0.28762276634087114,0.20367438499800047,0.0,0.20367438499800047,True,False
bxaic__P__gcn__seed42,bxaic,P,gcn,42,gradinput,1.0,0.7696701095992621,0.20367438499800047,0.0022036871174802206,0.20147069788052024,True,False
bxaic__P__gcn__seed42,bxaic,P,gcn,42,ig,1.0,0.7696701095992621,0.20367438499800047,0.0022036871174802206,0.20147069788052024,True,False
bxaic__P__gin__seed123,bxaic,P,gin,123,gradinput,1.0,0.424710798693751,0.20367438499800047,0.00043706293706293706,0.20323732206093753,True,False
bxaic__P__gin__seed123,bxaic,P,gin,123,ig,1.0,0.424710798693751,0.20367438499800047,0.0,0.20367438499800047,True,False
bxaic__P__gin__seed2026,bxaic,P,gin,2026,gradinput,1.0,0.7840539794516659,0.20367438499800047,0.17373625535817472,0.029938129639825756,True,False
bxaic__P__gin__seed2026,bxaic,P,gin,2026,ig,1.0,0.7840539794516659,0.20367438499800047,0.20367438499800047,0.0,False,True
bxaic__P__gin__seed42,bxaic,P,gin,42,gradinput,1.0,0.5056859064995446,0.20367438499800047,0.008195910442130245,0.19547847455587022,True,False
bxaic__P__gin__seed42,bxaic,P,gin,42,ig,1.0,0.5056859064995446,0.20367438499800047,0.006717886550313251,0.19695649844768723,True,False
bxaic__PAINS__gcn__seed123,bxaic,PAINS,gcn,123,gradinput,0.8677312795297718,0.45751329859562473,0.1978367184413517,0.16404423283676306,0.03379248560458864,True,False
bxaic__PAINS__gcn__seed123,bxaic,PAINS,gcn,123,ig,0.8677312795297718,0.45751329859562473,0.20900213551092608,0.16404423283676306,0.044957902674163025,True,False
bxaic__PAINS__gcn__seed2026,bxaic,PAINS,gcn,2026,gradinput,0.8490070019326929,0.5751302664070403,0.21182793102024214,0.1381889312477024,0.07363899977253974,True,False
bxaic__PAINS__gcn__seed2026,bxaic,PAINS,gcn,2026,ig,0.8490070019326929,0.5751302664070403,0.23287679758850077,0.13822918457531083,0.09464761301318994,True,False
bxaic__PAINS__gcn__seed42,bxaic,PAINS,gcn,42,gradinput,0.8713432034839238,0.5005061987591604,0.17728755697813678,0.14613997033651843,0.031147586641618347,True,False
bxaic__PAINS__gcn__seed42,bxaic,PAINS,gcn,42,ig,0.8713432034839238,0.5005061987591604,0.19263133377538066,0.14613997033651843,0.04649136343886223,True,False
bxaic__PAINS__gin__seed123,bxaic,PAINS,gin,123,gradinput,0.9693213092997706,0.557796766274689,0.24226734430641514,0.12543971740391574,0.1168276269024994,True,False
bxaic__PAINS__gin__seed123,bxaic,PAINS,gin,123,ig,0.9693213092997706,0.557796766274689,0.28207706126185317,0.2606720091557913,0.02140505210606186,True,False
bxaic__PAINS__gin__seed2026,bxaic,PAINS,gin,2026,gradinput,0.9674401064612863,0.4358219021614977,0.21185350899480215,0.1633348584128168,0.048518650581985345,True,False
bxaic__PAINS__gin__seed2026,bxaic,PAINS,gin,2026,ig,0.9674401064612863,0.4358219021614977,0.38210274624987356,0.16039968718721234,0.22170305906266122,True,False
bxaic__PAINS__gin__seed42,bxaic,PAINS,gin,42,gradinput,0.9708294806386225,0.4336136282049888,0.217367889019385,0.19704713189333553,0.02032075712604947,True,False
bxaic__PAINS__gin__seed42,bxaic,PAINS,gin,42,ig,0.9708294806386225,0.4336136282049888,0.3609635570361391,0.2202988746589474,0.14066468237719168,True,False
bxaic__rings-count__gcn__seed123,bxaic,rings-count,gcn,123,gradinput,0.9099242400020707,0.8814552435936671,0.11554130655283354,0.12794864353725852,-0.012407336984424977,False,False
bxaic__rings-count__gcn__seed123,bxaic,rings-count,gcn,123,ig,0.9099242400020707,0.8814552435936671,0.11143239357805802,0.12795585217790195,-0.01652345859984393,False,False
bxaic__rings-count__gcn__seed2026,bxaic,rings-count,gcn,2026,gradinput,0.9371398317019659,0.23878139982430258,0.13909473078665383,0.09681013686276635,0.042284593923887476,True,False
bxaic__rings-count__gcn__seed2026,bxaic,rings-count,gcn,2026,ig,0.9371398317019659,0.23878139982430258,0.1312544741067745,0.09681013686276635,0.03444433724400814,True,False
bxaic__rings-count__gcn__seed42,bxaic,rings-count,gcn,42,gradinput,0.9397164861733437,0.6511439363835259,0.16814000685159905,0.2019143077626443,-0.033774300911045246,False,False
bxaic__rings-count__gcn__seed42,bxaic,rings-count,gcn,42,ig,0.9397164861733437,0.6511439363835259,0.13641297205905537,0.20190977645488503,-0.06549680439582967,False,False
bxaic__rings-count__gin__seed123,bxaic,rings-count,gin,123,gradinput,0.9972499699304669,0.15794364741150804,0.15159855389496615,0.16080087589447176,-0.009202321999505603,False,False
bxaic__rings-count__gin__seed123,bxaic,rings-count,gin,123,ig,0.9972499699304669,0.15794364741150804,0.11858147990983696,0.2714218316294839,-0.15284035171964694,False,False
bxaic__rings-count__gin__seed2026,bxaic,rings-count,gin,2026,gradinput,0.9995775040308399,0.7399106249743077,0.10759155923026327,0.23984631745342286,-0.13225475822315957,False,False
bxaic__rings-count__gin__seed2026,bxaic,rings-count,gin,2026,ig,0.9995775040308399,0.7399106249743077,0.09357713264707689,0.25866610614222046,-0.16508897349514357,False,False
bxaic__rings-count__gin__seed42,bxaic,rings-count,gin,42,gradinput,0.9993076394883763,0.8517587251127036,0.13955795590171155,0.23198203007965007,-0.09242407417793852,False,False
bxaic__rings-count__gin__seed42,bxaic,rings-count,gin,42,ig,0.9993076394883763,0.8517587251127036,0.09829494152306303,0.25885685538088293,-0.1605619138578199,False,False
bxaic__rings-max__gcn__seed123,bxaic,rings-max,gcn,123,gradinput,0.7547022386952845,0.7276650351607117,0.24387317601790467,0.15204912384576155,0.09182405217214312,True,False
bxaic__rings-max__gcn__seed123,bxaic,rings-max,gcn,123,ig,0.7547022386952845,0.7276650351607117,0.2703894240177082,0.15204912384576155,0.11834030017194666,True,False
bxaic__rings-max__gcn__seed2026,bxaic,rings-max,gcn,2026,gradinput,0.7569430746624219,0.2884378674519914,0.22616815350175928,0.177346377203454,0.04882177629830528,True,False
bxaic__rings-max__gcn__seed2026,bxaic,rings-max,gcn,2026,ig,0.7569430746624219,0.2884378674519914,0.12971594087075633,0.17747286774059437,-0.04775692686983804,False,False
bxaic__rings-max__gcn__seed42,bxaic,rings-max,gcn,42,gradinput,0.7570011789044905,0.6699671405220513,0.23252462284535674,0.09131317894078991,0.14121144390456683,True,False
bxaic__rings-max__gcn__seed42,bxaic,rings-max,gcn,42,ig,0.7570011789044905,0.6699671405220513,0.27096811243013186,0.09131317894078991,0.17965493348934194,True,False
bxaic__rings-max__gin__seed123,bxaic,rings-max,gin,123,gradinput,0.8959765870485644,0.27651350082645637,0.1642568633686188,0.26713746664639104,-0.10288060327777224,False,False
bxaic__rings-max__gin__seed123,bxaic,rings-max,gin,123,ig,0.8959765870485644,0.27651350082645637,0.2714151862977087,0.2524634164183053,0.018951769879403446,True,False
bxaic__rings-max__gin__seed2026,bxaic,rings-max,gin,2026,gradinput,0.8938167912085224,0.6983265978284304,0.15770584676368452,0.10535265125557888,0.05235319550810563,True,False
bxaic__rings-max__gin__seed2026,bxaic,rings-max,gin,2026,ig,0.8938167912085224,0.6983265978284304,0.15415317468025913,0.13020462180929,0.023948552870969142,True,False
bxaic__rings-max__gin__seed42,bxaic,rings-max,gin,42,gradinput,0.8883966593118928,0.7239589784050997,0.17756827710773698,0.23411958335819094,-0.05655130625045396,False,False
