family,task,explainer,cells,trained_wins,trained_mean_iou,random_mean_iou,mean_iou_improvement
bxaic,B,gradinput,6,6,0.18645378770279053,0.02928200781586302,0.15717177988692752
bxaic,B,ig,6,6,0.18645378770279053,0.019974741857220913,0.1664790458455696
bxaic,P,gradinput,6,6,0.20367438499800047,0.030762152642474686,0.17291223235552577
bxaic,P,ig,6,5,0.20367438499800047,0.035432659777632325,0.16824172522036815
bxaic,PAINS,gradinput,6,6,0.20974015812672217,0.15569914035517532,0.05404101777154682
bxaic,PAINS,ig,6,6,0.27660893857044555,0.18163065979175722,0.09497827877868832
bxaic,X,gradinput,6,6,0.28311947769457624,0.043207732801605885,0.23991174489297032
bxaic,X,ig,6,6,0.2838077320570864,0.05749241250410556,0.22631531955298087
bxaic,indole,gradinput,6,6,0.2720291389457113,0.11578078248131905,0.15624835646439225
bxaic,indole,ig,6,6,0.3264623589050218,0.1778560119503225,0.14860634695469935
bxaic,rings-count,gradinput,6,1,0.1369206855363379,0.17655038526503564,-0.03962969972869774
bxaic,rings-count,ig,6,1,0.11492556563731078,0.20260342644135676,-0.08767786080404598
bxaic,rings-max,gradinput,6,4,0.2003494899341768,0.17121973020836104,0.029129759725815777
bxaic,rings-max,ig,6,4,0.19803615269516084,0.17275653164514052,0.02527962105002032
google,benzene,gradinput,6,6,0.3659035143411935,0.09643770360001297,0.26946581074118053
google,benzene,ig,6,6,0.3437771049082825,0.09617526123445742,0.24760184367382507
google,logic10,gradinput,6,3,0.16220884240704012,0.13924641454391842,0.022962427863121707
google,logic10,ig,6,5,0.18915948420298678,0.1257617113370928,0.063397772865894
google,logic7,gradinput,6,4,0.25784862300819744,0.09281275265317818,0.16503587035501924
google,logic7,ig,6,6,0.38080654570016265,0.10611203217586196,0.27469451352430074
google,logic8,gradinput,6,4,0.22276982151302804,0.14699881816050295,0.07577100335252508
google,logic8,ig,6,6,0.28499319219427915,0.14587896377977902,0.13911422841450014
