term,analysis,point_estimate,bootstrap_valid,bootstrap_median,ci95_low,ci95_high,same_sign_frequency
spearman_actual_oracle,correlation,0.605859439896535,2000,0.6269741025625085,-0.12155068460637351,0.9371335187961916,0.957
spearman_actual_mean_rationale,correlation,0.599944476174211,2000,0.6203525943635944,-0.12858182293967296,0.9369105960818588,0.9555
spearman_actual_median_rationale,correlation,0.6229098931769254,2000,0.6407158262229462,-0.06325825523321814,0.9277929413476825,0.9655
spearman_actual_mean_atoms,correlation,-0.007938773786804304,2000,-0.01627146943199025,-0.622958229514786,0.5985957361356731,0.515
spearman_excess_fixed20_iou,correlation,0.03711269450707105,2000,-0.005521234965895237,-0.4950657812396397,0.4371099235287188,0.489
spearman_excess_mean_atoms,correlation,-0.12131926973188865,2000,-0.11463743235772283,-0.7096212748929599,0.5306648330649709,0.6365
spearman_random_saving_fixed20_iou,correlation,0.20588235294117643,2000,0.2322194316118429,-0.31509382944334496,0.6686727391235642,0.807
partial_actual_oracle_given_atoms,correlation,0.6191273154326453,2000,0.6562717373498534,-0.08468518654986806,0.9453227724622348,0.961
partial_actual_rationale_given_atoms,correlation,0.6183091419732153,2000,0.6577702527247385,-0.07987028595716024,0.9451070589145314,0.9615
partial_excess_iou_given_atoms_rationale,correlation,0.0755038079037751,2000,-0.03823034737768749,-0.685884929820805,0.4304471974999987,0.444
actual_fraction_model:oracle_fraction,standardized_ols,0.837039353451642,2000,0.8536538712354957,-0.017265063285444644,1.0289882598072577,0.973
actual_fraction_model:fixed20_iou,standardized_ols,0.088288218583449,2000,0.026143758435616903,-0.5662848976714941,0.3093325568425108,0.56
actual_fraction_model:mean_test_atoms,standardized_ols,0.14099736291524606,2000,0.12271520095657881,-0.4765518741240619,0.4586684665276466,0.644
excess_fraction_model:fixed20_iou,standardized_ols,0.1566650809052845,2000,0.06338204433090155,-0.5869061381423982,0.5071842719874206,0.591
excess_fraction_model:mean_test_atoms,standardized_ols,0.24482621714983457,2000,0.1899893731204708,-0.7409716675286446,0.7143690899482553,0.6515
excess_fraction_model:mean_test_rationale_fraction,standardized_ols,0.517732883219776,2000,0.5462024540858073,-0.7703988148166827,0.9329694649105539,0.943
