cell_id,n_calibration_full,n_test,main_fraction,main_test_risk,fixed20_iou,fixed20_risk,mean_test_atoms,median_test_atoms,mean_test_rationale_fraction,median_test_rationale_fraction,cal_seconds,test_seconds,peak_vram_mib,total_seconds,family,task,model,fraction_grid,mean_atom_fraction,random_mean_atom_fraction,atom_fraction_saving_vs_random,test_risk,test_auroc,oracle_fraction,oracle_calibration_risk,oracle_corrected_risk,oracle_n_calibration_rationale,oracle_test_risk,oracle_test_mean_atom_fraction,oracle_test_median_atom_fraction,oracle_test_precision,oracle_test_iou,oracle_n_test_rationale,excess_grid_fraction,excess_realized_atom_fraction
bxaic__B__gin__seed42,119,109,0.01,0.0290519877675841,0.1864537877027905,0.0,32.42201834862385,27.0,0.0406208913174478,0.0384615384615384,10.058060500072315,13.379937799996696,20.72216796875,23.44412130001001,bxaic,B,gin,0.01,0.0386003571497199,0.9109252060222288,0.8723248488725088,0.0290519877675841,1.0,0.01,0.0126050420168067,0.0208333333333333,119,0.0290519877675841,0.0386003571497199,0.037037037037037,0.9908256880733946,0.9617737003058104,109,0.0,0.0
bxaic__B__gcn__seed42,119,109,0.01,0.0290519877675841,0.1864537877027905,0.0,32.42201834862385,27.0,0.0406208913174478,0.0384615384615384,12.835686700069346,11.360680900048465,20.2138671875,24.20705339999404,bxaic,B,gcn,0.01,0.0386003571497199,0.9109252060222288,0.8723248488725088,0.0290519877675841,1.0,0.01,0.0126050420168067,0.0208333333333333,119,0.0290519877675841,0.0386003571497199,0.037037037037037,0.9908256880733946,0.9617737003058104,109,0.0,0.0
bxaic__P__gin__seed42,657,638,0.02,0.1097649062474804,0.2036743849980004,0.0,39.93887147335423,32.0,0.0438526013322088,0.037037037037037,10.222833100007849,7.66683090000879,20.72216796875,17.909497900051065,bxaic,P,gin,0.02,0.0365457382575857,0.9274815943093282,0.8909358560517425,0.1097649062474804,1.0,0.02,0.0919435326365221,0.0933235576629104,657,0.1097649062474804,0.0365457382575857,0.0333333333333333,0.961206896551724,0.8514419903042437,638,0.0,0.0
bxaic__P__gcn__seed42,657,638,0.02,0.1097649062474804,0.2036743849980004,0.0,39.93887147335423,32.0,0.0438526013322088,0.037037037037037,12.082017199951224,18.24520260002464,20.2138671875,30.34971590002533,bxaic,P,gcn,0.02,0.0365457382575857,0.9274815943093282,0.8909358560517425,0.1097649062474804,1.0,0.02,0.0919435326365221,0.0933235576629104,657,0.1097649062474804,0.0365457382575857,0.0333333333333333,0.961206896551724,0.8514419903042437,638,0.0,0.0
bxaic__X__gin__seed42,2764,2822,0.05,0.0921681122248096,0.2838077320570864,0.0013928262067879,31.212260807937632,29.0,0.0617990472821435,0.0454545454545454,10.256676199962383,8.997298399917781,20.72216796875,19.357688899966888,bxaic,X,gin,0.05,0.0681479369393897,0.9087783882831856,0.8406304513437959,0.0921681122248096,0.9998909415391308,0.05,0.0917232329497163,0.0920517236430439,2764,0.0921681122248096,0.0681479369393897,0.0666666666666666,0.7275108622380061,0.6353427500131965,2822,0.0,0.0
bxaic__X__gcn__seed42,2764,2822,0.05,0.0921681122248096,0.2838077320570864,0.0013928262067879,31.212260807937632,29.0,0.0617990472821435,0.0454545454545454,18.05618680000771,10.623424100107512,20.2138671875,28.754577600047924,bxaic,X,gcn,0.05,0.0681479369393897,0.9087783882831856,0.8406304513437959,0.0921681122248096,1.0,0.05,0.0917232329497163,0.0920517236430439,2764,0.0921681122248096,0.0681479369393897,0.0666666666666666,0.7275108622380061,0.6353427500131965,2822,0.0,0.0
bxaic__indole__gin__seed42,1887,1847,0.67,0.0980146445224951,0.4019287912623642,0.5002795979311951,40.09745533297239,31.0,0.3140161392502071,0.3,13.699343499960378,7.369337099953555,20.72216796875,21.12417900003493,bxaic,indole,gin,0.67,0.6886269315023926,0.90726752777742,0.2186405962750274,0.0980146445224951,0.9920397564716004,0.3,0.0940243410831646,0.0945042010719985,1887,0.0889923715519275,0.3145430447201606,0.3125,0.8595613870904957,0.770569015538568,1847,0.37000000000000005,0.37408388678223203
bxaic__indole__gcn__seed42,1887,1847,0.68,0.0951195979620451,0.2218168036167488,0.6860680945615976,40.09745533297239,31.0,0.3140161392502071,0.3,11.877011599950492,15.810173099976964,20.2138671875,27.781693099997938,bxaic,indole,gcn,0.68,0.6955214960377726,0.90726752777742,0.2117460317396474,0.0951195979620451,0.93217358922,0.3,0.0940243410831646,0.0945042010719985,1887,0.0889923715519275,0.3145430447201606,0.3125,0.8595613870904957,0.770569015538568,1847,0.38000000000000006,0.380978451317612
bxaic__PAINS__gin__seed42,1625,1644,0.84,0.10021768040983,0.3609635570361391,0.5603485757426134,30.128345498783457,28.0,0.3429300273211182,0.3333333333333333,10.74555180000607,13.461656599887649,20.72216796875,24.73855170002207,bxaic,PAINS,gin,0.84,0.8573713715364746,0.8975096610559893,0.0401382895195147,0.10021768040983,0.9708294806386224,0.33,0.0970065433873721,0.0975618899166544,1625,0.096300381249768,0.3455370467368918,0.3448275862068966,0.8426985280421067,0.7463981467923387,1644,0.51,0.5118343247995828
bxaic__PAINS__gcn__seed42,1625,1644,0.89,0.0973045327452572,0.1926313337753806,0.7380470693190322,30.128345498783457,28.0,0.3429300273211182,0.3333333333333333,11.368178499978969,12.229550699936226,20.2138671875,23.667098599951714,bxaic,PAINS,gcn,0.89,0.9091218677307265,0.8975096610559893,-0.011612206674737,0.0973045327452572,0.8713432034839238,0.33,0.0970065433873721,0.0975618899166544,1625,0.096300381249768,0.3455370467368918,0.3448275862068966,0.8426985280421067,0.7463981467923387,1644,0.56,0.5635848209938347
