cell_id,family,task,model,seed,explainer,predictor_competence_pass,test_auroc,n_calibration_rationale,n_test_rationale,fraction_grid,test_risk,mean_atom_fraction,precision,iou,random_test_risk,random_mean_atom_fraction,atom_fraction_saving_vs_random,fixed20_risk,fixed50_risk,risk_pass,efficiency_pass,oracle_fraction,oracle_calibration_risk,oracle_corrected_risk,oracle_n_calibration_rationale,oracle_test_risk,oracle_test_mean_atom_fraction,oracle_test_median_atom_fraction,oracle_test_precision,oracle_test_iou,oracle_n_test_rationale,excess_mean_atom_fraction,recoverable_efficiency,oracle_efficiency_pass
bxaic__B__gcn__seed123,bxaic,B,gcn,123,gradinput,True,1.0,119,109,0.01,0.0290519877675841,0.0386003571497199,0.9908256880733946,0.9617737003058104,0.1330275229357798,0.9109252060222288,0.8723248488725088,0.0,0.0,True,True,0.01,0.012605042016806723,0.020833333333333332,119,0.029051987767584102,0.03860035714971998,0.037037037037037035,0.9908256880733946,0.9617737003058103,109,-8.326672684688674e-17,1.0000000000000002,True
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,True,1.0,119,109,0.01,0.0290519877675841,0.0386003571497199,0.9908256880733946,0.9617737003058104,0.1330275229357798,0.9109252060222288,0.8723248488725088,0.0,0.0,True,True,0.01,0.012605042016806723,0.020833333333333332,119,0.029051987767584102,0.03860035714971998,0.037037037037037035,0.9908256880733946,0.9617737003058103,109,-8.326672684688674e-17,1.0000000000000002,True
bxaic__B__gcn__seed2026,bxaic,B,gcn,2026,gradinput,True,1.0,119,109,0.01,0.0290519877675841,0.0386003571497199,0.9908256880733946,0.9617737003058104,0.1131498470948012,0.8893335038811342,0.8507331467314142,0.0,0.0,True,True,0.01,0.012605042016806723,0.020833333333333332,119,0.029051987767584102,0.03860035714971998,0.037037037037037035,0.9908256880733946,0.9617737003058103,109,-8.326672684688674e-17,1.0000000000000002,True
bxaic__B__gcn__seed2026,bxaic,B,gcn,2026,ig,True,1.0,119,109,0.01,0.0290519877675841,0.0386003571497199,0.9908256880733946,0.9617737003058104,0.1131498470948012,0.8893335038811342,0.8507331467314142,0.0,0.0,True,True,0.01,0.012605042016806723,0.020833333333333332,119,0.029051987767584102,0.03860035714971998,0.037037037037037035,0.9908256880733946,0.9617737003058103,109,-8.326672684688674e-17,1.0000000000000002,True
bxaic__B__gcn__seed42,bxaic,B,gcn,42,gradinput,True,1.0,119,109,0.01,0.0290519877675841,0.0386003571497199,0.9908256880733946,0.9617737003058104,0.091743119266055,0.9109252060222288,0.8723248488725088,0.0,0.0,True,True,0.01,0.012605042016806723,0.020833333333333332,119,0.029051987767584102,0.03860035714971998,0.037037037037037035,0.9908256880733946,0.9617737003058103,109,-8.326672684688674e-17,1.0000000000000002,True
bxaic__B__gcn__seed42,bxaic,B,gcn,42,ig,True,1.0,119,109,0.01,0.0290519877675841,0.0386003571497199,0.9908256880733946,0.9617737003058104,0.091743119266055,0.9109252060222288,0.8723248488725088,0.0,0.0,True,True,0.01,0.012605042016806723,0.020833333333333332,119,0.029051987767584102,0.03860035714971998,0.037037037037037035,0.9908256880733946,0.9617737003058103,109,-8.326672684688674e-17,1.0000000000000002,True
bxaic__B__gin__seed123,bxaic,B,gin,123,gradinput,True,1.0,119,109,0.01,0.0290519877675841,0.0386003571497199,0.9908256880733946,0.9617737003058104,0.1330275229357798,0.9109252060222288,0.8723248488725088,0.0,0.0,True,True,0.01,0.012605042016806723,0.020833333333333332,119,0.029051987767584102,0.03860035714971998,0.037037037037037035,0.9908256880733946,0.9617737003058103,109,-8.326672684688674e-17,1.0000000000000002,True
bxaic__B__gin__seed123,bxaic,B,gin,123,ig,True,1.0,119,109,0.01,0.0290519877675841,0.0386003571497199,0.9908256880733946,0.9617737003058104,0.1330275229357798,0.9109252060222288,0.8723248488725088,0.0,0.0,True,True,0.01,0.012605042016806723,0.020833333333333332,119,0.029051987767584102,0.03860035714971998,0.037037037037037035,0.9908256880733946,0.9617737003058103,109,-8.326672684688674e-17,1.0000000000000002,True
bxaic__B__gin__seed2026,bxaic,B,gin,2026,gradinput,True,1.0,119,109,0.01,0.0290519877675841,0.0386003571497199,0.9908256880733946,0.9617737003058104,0.1131498470948012,0.8893335038811342,0.8507331467314142,0.0,0.0,True,True,0.01,0.012605042016806723,0.020833333333333332,119,0.029051987767584102,0.03860035714971998,0.037037037037037035,0.9908256880733946,0.9617737003058103,109,-8.326672684688674e-17,1.0000000000000002,True
bxaic__B__gin__seed2026,bxaic,B,gin,2026,ig,True,1.0,119,109,0.01,0.0290519877675841,0.0386003571497199,0.9908256880733946,0.9617737003058104,0.1131498470948012,0.8893335038811342,0.8507331467314142,0.0,0.0,True,True,0.01,0.012605042016806723,0.020833333333333332,119,0.029051987767584102,0.03860035714971998,0.037037037037037035,0.9908256880733946,0.9617737003058103,109,-8.326672684688674e-17,1.0000000000000002,True
bxaic__B__gin__seed42,bxaic,B,gin,42,gradinput,True,1.0,119,109,0.01,0.0290519877675841,0.0386003571497199,0.9908256880733946,0.9617737003058104,0.091743119266055,0.9109252060222288,0.8723248488725088,0.0,0.0,True,True,0.01,0.012605042016806723,0.020833333333333332,119,0.029051987767584102,0.03860035714971998,0.037037037037037035,0.9908256880733946,0.9617737003058103,109,-8.326672684688674e-17,1.0000000000000002,True
bxaic__B__gin__seed42,bxaic,B,gin,42,ig,True,1.0,119,109,0.01,0.0290519877675841,0.0386003571497199,0.9908256880733946,0.9617737003058104,0.091743119266055,0.9109252060222288,0.8723248488725088,0.0,0.0,True,True,0.01,0.012605042016806723,0.020833333333333332,119,0.029051987767584102,0.03860035714971998,0.037037037037037035,0.9908256880733946,0.9617737003058103,109,-8.326672684688674e-17,1.0000000000000002,True
