family,task,alpha,oracle_fraction,oracle_calibration_risk,oracle_corrected_risk,oracle_n_calibration_rationale,oracle_test_risk,oracle_test_mean_atom_fraction,oracle_test_median_atom_fraction,oracle_test_precision,oracle_test_iou,oracle_n_test_rationale
bxaic,B,0.05,0.01,0.012605042016806723,0.020833333333333332,119,0.029051987767584102,0.03860035714971998,0.037037037037037035,0.9908256880733946,0.9617737003058103,109
bxaic,B,0.1,0.01,0.012605042016806723,0.020833333333333332,119,0.029051987767584102,0.03860035714971998,0.037037037037037035,0.9908256880733946,0.9617737003058103,109
bxaic,B,0.2,0.01,0.012605042016806723,0.020833333333333332,119,0.029051987767584102,0.03860035714971998,0.037037037037037035,0.9908256880733946,0.9617737003058103,109
bxaic,P,0.05,0.04,0.0341657819901172,0.035633615148186935,657,0.04238780151559057,0.0560134724761788,0.05405405405405406,0.7105022850712506,0.6681144835556599,638
bxaic,P,0.1,0.02,0.09194353263652216,0.09332355766291041,657,0.10976490624748046,0.03654573825758572,0.03333333333333333,0.9612068965517241,0.8514419903042437,638
bxaic,P,0.2,0.01,0.11390814247381531,0.11525478663418944,657,0.12610950193699597,0.03475498746109547,0.03125,0.9929467084639498,0.8668372065269538,638
bxaic,X,0.05,0.07,0.04433059403211357,0.04467622492034782,2764,0.04717961481781467,0.08806591529839215,0.08695652173913043,0.6167122391701824,0.5695326243523676,2822
bxaic,X,0.1,0.05,0.09172323294971631,0.09205172364304394,2764,0.09216811222480963,0.06814793693938972,0.06666666666666667,0.7275108622380061,0.6353427500131965,2822
bxaic,X,0.2,0.03,0.19453604162359592,0.1948273486609837,2764,0.19825436198575816,0.0432521799187031,0.041666666666666664,0.9242765178360501,0.726022155850292,2822
bxaic,indole,0.05,0.35000000000000003,0.045435480729598375,0.04594107634361888,1887,0.042590375244679526,0.3678004329265347,0.36585365853658536,0.7870305160247706,0.7444401407800911,1847
bxaic,indole,0.1,0.3,0.09402434108316463,0.09450420107199857,1887,0.08899237155192759,0.3145430447201606,0.3125,0.8595613870904957,0.770569015538568,1847
bxaic,indole,0.2,0.24,0.19332703744468455,0.19375430066637703,1887,0.1848683165277643,0.2551492400011478,0.25,0.9228694858969221,0.7380011693691578,1847
bxaic,PAINS,0.05,0.4,0.0466444309362147,0.04723075047438435,1625,0.04595237484568375,0.41477609984134833,0.41379310344827586,0.759077822851711,0.7131254480060274,1644
